msa,pmsa,state,county_fips,state_fips,county
NA,NA,AK,13,2,Aleutians East
NA,NA,AK,16,2,Aleutians West
380,NA,AK,20,2,Anchorage
NA,NA,AK,50,2,Bethel
NA,NA,AK,60,2,Bristol Bay
NA,NA,AK,68,2,Denali
NA,NA,AK,70,2,Dillingham
NA,NA,AK,90,2,Fairbanks North Star
NA,NA,AK,100,2,Haines
NA,NA,AK,110,2,Juneau
NA,NA,AK,122,2,Kenai Peninsula
NA,NA,AK,130,2,Ketchikan Gateway
NA,NA,AK,150,2,Kodiak Island
NA,NA,AK,164,2,Lake and Peninsula
NA,NA,AK,170,2,Matanuska-Susitna
NA,NA,AK,180,2,Nome
NA,NA,AK,185,2,North Slope
NA,NA,AK,188,2,Northwest Arctic
NA,NA,Prince of Wales-Outer Ketchika,201,2,Prince of Wales-Outer Ketchika
NA,NA,AK,220,2,Sitka
NA,NA,AK,232,2,Skagway-Hoonah-Angoon
NA,NA,AK,240,2,Southeast Fairbanks
NA,NA,AK,261,2,Valdez-Cordova
NA,NA,AK,270,2,Wade Hampton
NA,NA,AK,280,2,Wrangell-Petersburg
NA,NA,AK,282,2,Yakutat
NA,NA,AK,290,2,Yukon-Koyukuk
5240,NA,AL,1,1,Autauga
5160,NA,AL,3,1,Baldwin
NA,NA,AL,5,1,Barbour
NA,NA,AL,7,1,Bibb
1000,NA,AL,9,1,Blount
NA,NA,AL,11,1,Bullock
NA,NA,AL,13,1,Butler
450,NA,AL,15,1,Calhoun
NA,NA,AL,17,1,Chambers
NA,NA,AL,19,1,Cherokee
NA,NA,AL,21,1,Chilton
NA,NA,AL,23,1,Choctaw
NA,NA,AL,25,1,Clarke
NA,NA,AL,27,1,Clay
NA,NA,AL,29,1,Cleburne
NA,NA,AL,31,1,Coffee
2650,NA,AL,33,1,Colbert
NA,NA,AL,35,1,Conecuh
NA,NA,AL,37,1,Coosa
NA,NA,AL,39,1,Covington
NA,NA,AL,41,1,Crenshaw
NA,NA,AL,43,1,Cullman
2180,NA,AL,45,1,Dale
NA,NA,AL,47,1,Dallas
NA,NA,AL,49,1,De Kalb
5240,NA,AL,51,1,Elmore
NA,NA,AL,53,1,Escambia
2880,NA,AL,55,1,Etowah
NA,NA,AL,57,1,Fayette
NA,NA,AL,59,1,Franklin
NA,NA,AL,61,1,Geneva
NA,NA,AL,63,1,Greene
NA,NA,AL,65,1,Hale
NA,NA,AL,67,1,Henry
2180,NA,AL,69,1,Houston
NA,NA,AL,71,1,Jackson
1000,NA,AL,73,1,Jefferson
NA,NA,AL,75,1,Lamar
2650,NA,AL,77,1,Lauderdale
2030,NA,AL,79,1,Lawrence
NA,NA,AL,81,1,Lee
3440,NA,AL,83,1,Limestone
NA,NA,AL,85,1,Lowndes
NA,NA,AL,87,1,Macon
3440,NA,AL,89,1,Madison
NA,NA,AL,91,1,Marengo
NA,NA,AL,93,1,Marion
NA,NA,AL,95,1,Marshall
5160,NA,AL,97,1,Mobile
NA,NA,AL,99,1,Monroe
5240,NA,AL,101,1,Montgomery
2030,NA,AL,103,1,Morgan
NA,NA,AL,105,1,Perry
NA,NA,AL,107,1,Pickens
NA,NA,AL,109,1,Pike
NA,NA,AL,111,1,Randolph
1800,NA,AL,113,1,Russell
1000,NA,AL,115,1,St. Clair
1000,NA,AL,117,1,Shelby
NA,NA,AL,119,1,Sumter
NA,NA,AL,121,1,Talladega
NA,NA,AL,123,1,Tallapoosa
8600,NA,AL,125,1,Tuscaloosa
NA,NA,AL,127,1,Walker
NA,NA,AL,129,1,Washington
NA,NA,AL,131,1,Wilcox
NA,NA,AL,133,1,Winston
NA,NA,AZ,1,4,Apache
NA,NA,AZ,3,4,Cochise
NA,NA,AZ,5,4,Coconino
NA,NA,AZ,7,4,Gila
NA,NA,AZ,9,4,Graham
NA,NA,AZ,11,4,Greenlee
NA,NA,AZ,12,4,La Paz
6200,NA,AZ,13,4,Maricopa
4120,NA,AZ,15,4,Mohave
NA,NA,AZ,17,4,Navajo
8520,NA,AZ,19,4,Pima
6200,NA,AZ,21,4,Pinal
NA,NA,AZ,23,4,Santa Cruz
NA,NA,AZ,25,4,Yavapai
9360,NA,AZ,27,4,Yuma
NA,NA,AR,1,5,Arkansas
NA,NA,AR,3,5,Ashley
NA,NA,AR,5,5,Baxter
2580,NA,AR,7,5,Benton
NA,NA,AR,9,5,Boone
NA,NA,AR,11,5,Bradley
NA,NA,AR,13,5,Calhoun
NA,NA,AR,15,5,Carroll
NA,NA,AR,17,5,Chicot
NA,NA,AR,19,5,Clark
NA,NA,AR,21,5,Clay
NA,NA,AR,23,5,Cleburne
NA,NA,AR,25,5,Cleveland
NA,NA,AR,27,5,Columbia
NA,NA,AR,29,5,Conway
NA,NA,AR,31,5,Craighead
2720,NA,AR,33,5,Crawford
4920,NA,AR,35,5,Crittenden
NA,NA,AR,37,5,Cross
NA,NA,AR,39,5,Dallas
NA,NA,AR,41,5,Desha
NA,NA,AR,43,5,Drew
4400,NA,AR,45,5,Faulkner
NA,NA,AR,47,5,Franklin
NA,NA,AR,49,5,Fulton
NA,NA,AR,51,5,Garland
NA,NA,AR,53,5,Grant
NA,NA,AR,55,5,Greene
NA,NA,AR,57,5,Hempstead
NA,NA,AR,59,5,Hot Spring
NA,NA,AR,61,5,Howard
NA,NA,AR,63,5,Independence
NA,NA,AR,65,5,Izard
NA,NA,AR,67,5,Jackson
6240,NA,AR,69,5,Jefferson
NA,NA,AR,71,5,Johnson
NA,NA,AR,73,5,Lafayette
NA,NA,AR,75,5,Lawrence
NA,NA,AR,77,5,Lee
NA,NA,AR,79,5,Lincoln
NA,NA,AR,81,5,Little River
NA,NA,AR,83,5,Logan
4400,NA,AR,85,5,Lonoke
NA,NA,AR,87,5,Madison
NA,NA,AR,89,5,Marion
8360,NA,AR,91,5,Miller
NA,NA,AR,93,5,Mississippi
NA,NA,AR,95,5,Monroe
NA,NA,AR,97,5,Montgomery
NA,NA,AR,99,5,Nevada
NA,NA,AR,101,5,Newton
NA,NA,AR,103,5,Ouachita
NA,NA,AR,105,5,Perry
NA,NA,AR,107,5,Phillips
NA,NA,AR,109,5,Pike
NA,NA,AR,111,5,Poinsett
NA,NA,AR,113,5,Polk
NA,NA,AR,115,5,Pope
NA,NA,AR,117,5,Prairie
4400,NA,AR,119,5,Pulaski
NA,NA,AR,121,5,Randolph
NA,NA,AR,123,5,St. Francis
4400,NA,AR,125,5,Saline
NA,NA,AR,127,5,Scott
NA,NA,AR,129,5,Searcy
2720,NA,AR,131,5,Sebastian
NA,NA,AR,133,5,Sevier
NA,NA,AR,135,5,Sharp
NA,NA,AR,137,5,Stone
NA,NA,AR,139,5,Union
NA,NA,AR,141,5,Van Buren
2580,NA,AR,143,5,Washington
NA,NA,AR,145,5,White
NA,NA,AR,147,5,Woodruff
NA,NA,AR,149,5,Yell
7362,5775,CA,1,6,Alameda
NA,NA,CA,3,6,Alpine
NA,NA,CA,5,6,Amador
1620,NA,CA,7,6,Butte
NA,NA,CA,9,6,Calaveras
NA,NA,CA,11,6,Colusa
7362,5775,CA,13,6,Contra Costa
NA,NA,CA,15,6,Del Norte
