"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,398800,385000,394800,399900,419900,424900,429000,429000,425000,419900,415000,399950,382000,399000,410000,424900,429900,445000,449000,445000,449000,449900,449900,449000,444900,439990,449900,459999,475000,479900,485000,485000,479900,479900,479888,475000,465000,468500,475000,494888,499900,499999,499900,499950,499900,499950,499990,499000,495000,491062,499900
"Texas",2,159990,160495,162000,163700,162900,163900,159999,160000,169965,169000,165000,160900,159900,159900,162500,164900,167000,167900,165900,164950,159900,159000,155000,153000,154900,155000,156840.5,159000,159900,160000,159900,159500,158000,159500,172500,174900,174000,179000,182000,185000,189000,189900,189900,189900,189900,193000,189900,190000,189900,195000,199900,208499,214172.5,210000,210990,217900,215000,215000,215000,220500,225000,230000,238900,241990,241990,242997.5,245000,246490,247999.5,249500,249900,252950,250000,244700,249900,250000,254990,255500,255900,254990,253000,257150,250000,249990,249900,255000,263000,269900,271878,274127.5,270000,269900,269000,269000,268990,268990,267990,269900
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+05,3e+05,319000,319900,315000,312995,299900,299000,290000,290900,299000,299900,299990,309000,320000,320000,325000,324999,329000,320000,319000,319000,319990,319999,319000,325000,329900,330000,329400,329000,334900,328000,319000,315000,319000,319000,319000,329999.5,339000,329999,347750,339000,339900,325000,319990,320000,320000,329000,328000,339000,349000,349900,349990,349000,344900,339900,329900,338000,339900,340000,345000,349900,379000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199999,199990,199900,204900,207990,210000,209000,205000,214600,215000,215900,215000,216900,215000,219900,225000,225000,224995,227950,229000,229900,238800,239900,241990,249000,249800,249500,249900,251990,259000,258000,259000,259000,255000,259900,260000,260175.5,264500,269900,273140,274990,279000,279900,279900,279990,279900,283000,279900,284500,285000,285000,288000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,172900,179900,188500,189900,189900,186000,184900,180000,178000,169900,169900,175000,187500,190000,199900,199900,199500,195000,191500,189900,187200,179983,179900,189000,199500,207900,209988.5,209900,205000,199900,199500,197900,189900,185000,185000,197913,209900,215900,219975,224900,219900,215000,214900,211900,209900,199900,2e+05,214900
"Pennsylvania",6,169900,169900,174900,174900,172000,169900,169900,169900,170000,169900,165000,164900,162000,164900,165000,168000,169900,169900,169900,169900,165000,164900,159900,159000,159900,159500,159900,159900,159900,159900,157500,151900,149900,149900,165000,163900,164800,169000,169900,174500,179900,179900,175900,172000,174000,169900,169900,174900,169000,169900,174900,179900,182900,182900,179900,175900,175000,178900,174900,169900,169900,172000,179000,180000,185000,184900,179900,179000,179900,175000,175000,169900,169357,168900,175000,179800,180000,185000,179900,175000,178000,179900,175000,170000,169999,174900,189000,195000,195900,194999,194900,189900,189900,190000,190000,189000,189000,190000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124500,128000,129900,134900,135900,134900,133000,130000,129900,127750,124900,125000,129900,132900,135000,139000,139700,139500,137500,135145,134000,131400,129900,129900,129900,134900,139900,144000,144900,144900,139900,139900,139900,138500,134900,134900,137000,144900,149900,154900,156000,155000,155000,154900,154900,149900,148900,149000,149900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121900,119900,118500,119900,124900,130000,137848.5,139900,139900,139900,138000,134900,129500,124900,124900,129900,134000,139000,142900,145000,145000,144900,142900,139900,139000,134900,130000,130000,139000,144900,149900,150000,152000,150000,149900,149900,149000,145000,144900,149900,155000,161900,169000,169900,169900,169900,169900,169000,164900,159900,159900,160000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,175000,170900,169500,173500,179900,184900,187900,189944,189900,189000,185000,184900,181000,178900,179900,185000,188900,189900,194755,195000,196900,199000,199000,197500,195900,195990,195900,195000,199900,205900,211994.5,214995,215000,210900,210000,212000,210000,208900,209900,212400,220000,229900,232000,235000,235000,235000,236400,238900,239557.5,239000,239900,241900
"North Carolina",10,189900,189900,189900,189000,187500,185000,184500,179999,184900,179000,174900,169900,165990,165000,169900,170990,175000,179000,179000,175000,172000,169900,165000,164900,169900,169900,170000,169900,169000,167032,165900,165000,163000,164900,179900,179900,179900,184306,187500,189900,194500,199000,195900,195000,195142,195000,189900,194900,189500,189900,195000,199000,199900,199900,199900,199900,199900,199000,199000,196500,197715,199900,199900,205000,214620,215000,215000,215000,215000,215000,215000,214000,217500,219000,222500,225000,228900,229000,229500,229000,229000,229723,229000,229000,226000,229900,235000,245000,249429,249900,249900,249700,249900,250000,250990,250000,254900,254784
