,RegionName,RegionType,StateFullName,DataTypeDescription,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,Pennsylvania,State,Pennsylvania,All Homes,66728,68498,71979,73525,72009,70794,70861,71641,72828,73737,75154,77036,78179,79287,80591,81060,81083,82410,84467,84341,82705,81738,81020,79921,78631,77237,75267,72914,71413,69863,67339,65888,65863,65784,65159,64717,65577,66751,67101,67172,67098,66364,65458,65246,65358,65378,65586,65860,65484,64288,64062,66068,67921,68216,68385,68620,68320,67735,67109,66452,65680,64630,62972,61723,62435,64118,65204,65263,64831,64301,63399,62373,61763,61677,61821,61553,60669,59860,59237,58572,57956,57475,57048,56725,56564,55889,54358,52832,51781,50834,50142,49963,50022,50055,50137,50287,50070,49394
9,North Carolina,State,North Carolina,All Homes,90444,91284,92717,93703,93488,93473,92990,92454,93533,94447,94643,94997,95249,96175,98474,100105,100335,101054,101997,100811,97850,96231,95835,94719,93452,92619,90903,88442,86492,83734,79865,77642,77736,78051,77801,77438,77429,77690,77856,78082,77872,76727,75913,76053,76263,76468,76544,76164,75383,74160,73588,74466,75413,75817,76061,75745,74423,72584,71087,69974,68832,67742,65436,62311,61228,61478,62127,62771,62454,61429,60482,60125,59879,59218,58786,59086,59190,59220,59269,58766,58026,57095,55955,55299,54984,53840,52053,50269,48616,47877,47895,47974,48373,48933,49059,48921,48534,47675
11,Virginia,State,Virginia,All Homes,54658,54598,54873,55105,54499,54377,54656,54876,55790,56218,56524,57238,57406,58142,58949,58240,57367,57235,57363,56937,55526,54448,54176,53638,52875,52166,50706,48580,46917,45468,43777,42529,41943,41814,41858,42060,42540,42697,42149,41526,41233,40815,40516,40760,41383,42294,43136,43581,43711,43809,44292,45376,46590,47527,48162,48473,48591,48440,47925,47319,46747,46055,45762,46698,48137,48860,49010,48975,48764,48217,47080,45827,44950,44385,44592,45161,45039,44710,44570,44229,43694,42858,41834,41393,41416,41221,40802,40172,39328,38739,38648,38723,38543,38583,39274,39618,39346,38952
12,Washington,State,Washington,All Homes,43853,44990,47696,48787,47515,46662,46432,46146,46093,46112,46231,46774,47542,48378,49119,48921,48131,48181,48688,48048,46690,46226,46305,45867,44811,42650,39258,36315,34885,34019,32987,32336,32082,31622,31022,30496,30716,31404,31229,30830,30854,30641,30506,30765,31017,31174,31412,31677,31630,31393,31578,32366,33083,33219,32972,32786,32652,32114,31229,30422,29709,28981,28422,28378,28493,27972,27068,26258,25461,24765,24260,23820,23416,23148,23221,23511,23653,23742,23874,23838,23495,22789,21960,21453,21054,20161,19042,18370,18109,17908,17697,17609,17838,18252,18308,18010,17595,16932
13,Massachusetts,State,Massachusetts,All Homes,37742,38673,39106,38108,36850,36575,36386,36043,36467,37364,37944,37899,37360,37298,38768,41004,42157,42791,43916,44113,43206,42290,41370,40337,39508,39214,38988,38265,37540,36599,35188,33939,32867,31960,31248,30583,30294,30441,30304,29520,27737,25197,23853,24054,24362,24434,24611,24979,25213,25065,24829,24891,25419,26193,26488,26324,26046,25481,24771,24332,24047,23197,22157,22311,23630,24800,25179,25127,25027,24882,24510,23795,22855,22052,21427,20563,19860,19727,19530,19135,18881,18730,18702,19009,19275,18832,17761,16652,15976,15686,15446,15321,15420,15557,15850,16340,16610,16545
14,Indiana,State,Indiana,All Homes,47295,48109,48846,47391,44041,42194,41965,42133,42747,42653,42184,42393,42913,43579,44304,44788,44811,44674,44374,43367,42113,41489,41092,40117,39163,38898,38749,38509,38769,38731,37884,37017,36054,35163,34830,34858,34874,34687,34339,34132,34048,33777,33582,33542,33347,32994,32878,33038,32800,32118,31753,32280,33151,33428,33433,33560,33550,33380,33016,32574,32138,31514,31051,31306,32046,32519,32645,32720,32817,32835,32329,31390,30613,29905,29119,28326,27545,27099,26942,26707,26543,26579,26583,26505,26413,26060,25075,23735,22665,22066,21709,21481,21548,21744,21899,22055,21918,21375
16,Tennessee,State,Tennessee,All Homes,56087,56405,57307,57608,56947,57009,57338,57265,57569,57810,58016,58052,58637,61017,63351,64482,64887,64827,65066,65211,64266,63489,63050,61849,60292,58995,58101,56999,55773,54673,53471,52778,52448,51829,51369,51322,51500,51999,52894,53822,54059,53299,52218,51434,51069,50869,50590,50086,48974,48083,48610,49787,50329,50333,49947,49130,48306,47501,46579,45904,45445,43297,38152,33769,33224,33924,34230,34421,34279,33894,33389,33109,33012,32929,33409,33927,33556,33009,32686,32335,32147,31944,31477,31251,31289,30915,30248,29382,28155,27498,27677,27781,27865,28245,28682,29064,29043,28456
18,Maryland,State,Maryland,All Homes,33820,33802,34274,34579,34000,33670,33826,34254,35266,35960,36486,37117,37380,38267,38923,38196,37800,38146,38052,37092,35975,35300,34692,33967,33324,32685,31653,30207,28876,27728,26685,25579,24106,22971,22532,22359,22454,22551,22188,21765,21370,20695,20388,20691,21176,21742,22347,22840,23034,23019,23469,24564,25745,26794,27439,27656,27778,27767,27497,27233,27118,26684,26390,27028,27827,28035,27990,28159,28416,28245,27460,26497,25814,25534,25654,25746,25636,25596,25599,25516,25297,24624,23605,23073,22909,22469,21883,21422,21021,20649,20530,20703,20896,21644,23150,23895,23708,23687
21,Colorado,State,Colorado,All Homes,46716,47062,48106,48907,48226,47239,46725,46903,48061,49070,49682,49927,49846,50509,51181,50564,49669,49821,50309,49122,46543,44853,44200,43564,42836,41755,39887,37895,36687,35538,34113,33430,33417,33205,32681,32405,32715,33135,33330,33449,33311,32783,32272,31819,31251,31086,31184,30910,30366,29789,29711,30289,30633,30539,30346,30027,29511,28561,27479,26835,26477,26043,25202,24355,24228,24376,24458,24690,25035,25256,25044,24194,22840,21719,21473,21714,22033,22684,23301,23507,23484,23227,22876,22773,22751,22336,21601,21197,21009,20188,19119,18714,18696,18501,18336,18620,18925,18653
23,South Carolina,State,South Carolina,All Homes,48711,49480,50140,49799,48991,48787,48489,47887,47400,46702,46674,47444,47700,47517,47748,48142,48341,49090,50495,50736,49502,48900,48638,47423,46600,46632,46226,45388,44545,43264,41882,41236,41121,40939,40574,40365,40409,40702,41346,41952,42174,41792,41085,40771,40878,41082,41152,41047,40877,40803,41126,41969,42506,42218,41522,41034,41088,41203,41038,40656,40055,38803,36614,34501,33861,34504,35263,35683,35636,34854,33906,33620,33376,32806,32477,32432,32351,32204,32085,31905,31712,31569,31451,31528,31677,31496,31093,30697,30074,29312,28896,28711,28628,28794,28940,28933,28756,28269
