,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,47.0,Pennsylvania,6,13230.0,12765.0,11714.0,11295.0,10975.0,10796.0,10697.0,10460.0,10123.0,9567.0,9233.0,9339.0,9555.0,9647.0,9286.0,9373.0,9682.0,10191.0,10492.0,10619.0,11476.0,11615.0,11041.0,10055.0,10188.0,10951.0,11167.0,11370.0,10667.0,9855.0,8685.0,8301.0,8641.0,8808.0,9417.0,9971.0,10425.0,10117.0,9553.0,9296.0,9108.0,9384.0,9073.0,9068.0,8936.0,9024.0,9798.0,10490.0,10881.0,10561.0,10150.0,9904.0,9899.0,9792.0,9332.0,9407.0,9808.0,10448.0,11180.0,11570.0,11756.0,11655.0,11433.0,11454.0,11452.0,11514.0,11761.0,11627.0,11506.0,11370.0,11641.0,11807.0,11868.0,11602.0,11367.0,11584.0,11606.0,11747.0,11692.0,11941.0,12051.0,12404.0,12613.0,13375.0,13796.0,13845.0,13212.0,13083.0,13625.0,13898.0,14115.0,13916.0,13959.0,13931.0,14074.0,15216.0,15453.0,15422.0,14763.0,14835.0,14565.0,14712.0,14462.0,14381.0,14499.0,14667.0,15762.0,16299.0,17023.0,16378.0,15932.0,15465.0,15172.0,15173.0,14789.0,15184.0,15644.0,15834.0,16508.0,
9,36.0,North Carolina,10,10972.0,10547.0,9517.0,9324.0,9124.0,8932.0,8752.0,8598.0,7921.0,7404.0,7006.0,7575.0,7745.0,7634.0,7100.0,7156.0,7521.0,7790.0,8119.0,8497.0,9066.0,8923.0,8380.0,8052.0,8252.0,8713.0,8688.0,8677.0,7852.0,7323.0,6821.0,6991.0,7112.0,7343.0,7578.0,7903.0,7955.0,7792.0,7381.0,7110.0,6793.0,7003.0,6992.0,7122.0,7020.0,6957.0,7347.0,8001.0,8333.0,8168.0,7733.0,7574.0,7373.0,7267.0,7115.0,7528.0,7878.0,8399.0,9037.0,9608.0,9808.0,9768.0,9693.0,9720.0,9668.0,9764.0,9836.0,10024.0,9880.0,9864.0,9984.0,10198.0,10211.0,9915.0,9737.0,9857.0,10027.0,9952.0,9830.0,10258.0,10298.0,10768.0,10695.0,11212.0,11362.0,10313.0,8918.0,8761.0,10014.0,11200.0,11204.0,10766.0,9909.0,9210.0,9182.0,10389.0,11251.0,11766.0,11907.0,12648.0,12537.0,12943.0,13001.0,13537.0,14040.0,14001.0,14600.0,14656.0,15374.0,14906.0,14634.0,14558.0,14401.0,14876.0,15067.0,16151.0,16398.0,15950.0,15912.0,
11,56.0,Virginia,12,7700.0,7501.0,6931.0,6831.0,6796.0,6922.0,7026.0,7093.0,6880.0,6587.0,6613.0,7045.0,7262.0,6918.0,6374.0,6411.0,6677.0,6896.0,6878.0,7001.0,7765.0,7655.0,7649.0,7045.0,7286.0,7248.0,7070.0,6904.0,6291.0,6037.0,5708.0,5786.0,6116.0,6296.0,6968.0,7111.0,7356.0,6895.0,6509.0,6243.0,6052.0,6128.0,6033.0,5996.0,6120.0,6213.0,6926.0,7377.0,7682.0,7305.0,6967.0,6818.0,6770.0,6729.0,6411.0,6512.0,6878.0,7169.0,7982.0,8166.0,8523.0,8028.0,7859.0,7886.0,7906.0,7792.0,7540.0,7434.0,7418.0,7398.0,7548.0,7626.0,7643.0,7553.0,7451.0,7657.0,7797.0,7853.0,7998.0,8097.0,8204.0,8255.0,8523.0,8769.0,9161.0,8959.0,8757.0,8487.0,8710.0,8833.0,9009.0,8953.0,9045.0,9229.0,9534.0,10353.0,10476.0,10432.0,10118.0,10334.0,10193.0,10327.0,10056.0,10101.0,10181.0,10278.0,11158.0,11284.0,11638.0,10995.0,10838.0,10806.0,10586.0,10554.0,10106.0,10468.0,10661.0,10892.0,11372.0,
12,59.0,Washington,13,7054.0,6629.0,5916.0,5709.0,5483.0,5286.0,5248.0,5192.0,4830.0,4416.0,4416.0,4768.0,4897.0,4664.0,4432.0,4738.0,5165.0,5467.0,5591.0,5908.0,6649.0,6703.0,6620.0,6322.0,6548.0,6578.0,6318.0,6049.0,5266.0,4770.0,4383.0,4613.0,4969.0,5436.0,6047.0,6281.0,6245.0,5803.0,5461.0,5317.0,5194.0,5360.0,5357.0,5567.0,5814.0,6017.0,6429.0,6702.0,6753.0,6442.0,6106.0,5984.0,5894.0,5992.0,5870.0,6194.0,6466.0,6906.0,7482.0,7659.0,7820.0,7559.0,7544.0,7532.0,7740.0,7866.0,7884.0,7708.0,7640.0,7710.0,8189.0,8378.0,8271.0,7827.0,7571.0,7799.0,7905.0,7909.0,7981.0,8314.0,8536.0,8727.0,8949.0,9452.0,9644.0,9680.0,9400.0,9678.0,9817.0,9895.0,9856.0,9713.0,9670.0,9779.0,10028.0,10513.0,10568.0,10423.0,10403.0,10569.0,10574.0,10808.0,10840.0,11055.0,11461.0,11441.0,12164.0,11741.0,11578.0,10456.0,10516.0,10970.0,11317.0,11513.0,11240.0,11486.0,11846.0,11633.0,11932.0,11851.0
13,26.0,Massachusetts,14,6351.0,6360.0,5387.0,5082.0,4845.0,4737.0,4684.0,4736.0,4525.0,4353.0,4166.0,4892.0,5272.0,5292.0,4560.0,4189.0,4402.0,4577.0,4808.0,4986.0,5611.0,5612.0,5443.0,5703.0,6262.0,6710.0,6077.0,5779.0,4892.0,4371.0,3895.0,4024.0,4260.0,4485.0,4787.0,5665.0,6030.0,6084.0,5088.0,4571.0,4174.0,4231.0,4013.0,3999.0,4143.0,4126.0,4253.0,4452.0,5213.0,5301.0,4753.0,4495.0,4549.0,5112.0,4399.0,4430.0,4726.0,5528.0,5952.0,6393.0,6588.0,6523.0,6021.0,5885.0,5972.0,5944.0,5908.0,5769.0,5782.0,5770.0,5909.0,6338.0,6497.0,6426.0,5896.0,5859.0,5842.0,5816.0,5749.0,5800.0,5791.0,5867.0,5909.0,6540.0,6597.0,6377.0,5757.0,5982.0,6605.0,6877.0,6946.0,5960.0,5755.0,5557.0,6368.0,7087.0,7220.0,7047.0,6412.0,6493.0,5756.0,5921.0,5822.0,6487.0,6118.0,6056.0,6489.0,7368.0,7679.0,7248.0,6700.0,6614.0,6605.0,6646.0,6395.0,6546.0,6895.0,6787.0,6915.0,
14,22.0,Indiana,15,6810.0,6693.0,6170.0,6289.0,6421.0,6569.0,6775.0,6985.0,7025.0,7024.0,6274.0,6254.0,6046.0,6346.0,6145.0,6282.0,6575.0,6793.0,6880.0,7103.0,7809.0,8309.0,7446.0,6633.0,6184.0,6836.0,7043.0,7104.0,6606.0,6133.0,5578.0,5667.0,6004.0,6356.0,6174.0,5983.0,5915.0,6087.0,6039.0,5895.0,5844.0,6031.0,5960.0,6116.0,6421.0,6804.0,6722.0,6684.0,6751.0,6913.0,6805.0,6603.0,6608.0,6548.0,6288.0,6464.0,6564.0,6740.0,6516.0,6582.0,6496.0,6560.0,6349.0,6288.0,6276.0,6314.0,6421.0,6558.0,6796.0,7002.0,7408.0,7959.0,8437.0,8603.0,8510.0,8585.0,8894.0,8875.0,8766.0,8597.0,8416.0,8604.0,7840.0,7623.0,7297.0,7739.0,7732.0,8042.0,8423.0,8874.0,9049.0,9036.0,9280.0,9396.0,8727.0,8518.0,8486.0,9230.0,9495.0,9583.0,9446.0,9455.0,9310.0,9257.0,9092.0,8719.0,8619.0,8343.0,9226.0,9525.0,10199.0,10212.0,10333.0,10644.0,10428.0,10949.0,10606.0,10017.0,8706.0,
16,53.0,Tennessee,17,10395.0,9712.0,8851.0,8556.0,8324.0,8094.0,7923.0,7701.0,7141.0,6640.0,6647.0,7238.0,7534.0,7390.0,6919.0,6904.0,7036.0,7242.0,7432.0,7705.0,8154.0,8160.0,7964.0,7826.0,8138.0,8440.0,8303.0,8038.0,7187.0,6736.0,6268.0,6321.0,6386.0,6311.0,6607.0,6766.0,6862.0,6533.0,6290.0,6223.0,6139.0,6304.0,6415.0,6551.0,6587.0,6592.0,7186.0,7684.0,8062.0,7853.0,7575.0,7320.0,7163.0,7121.0,6913.0,7076.0,7032.0,7316.0,7797.0,8177.0,8329.0,8281.0,8224.0,8203.0,8090.0,8171.0,8298.0,8309.0,8209.0,8137.0,8408.0,8605.0,8827.0,8668.0,8548.0,8573.0,8631.0,8548.0,8729.0,8961.0,9126.0,9185.0,9078.0,9170.0,9397.0,9368.0,9412.0,9590.0,9905.0,10179.0,10137.0,10077.0,9505.0,9468.0,9510.0,10480.0,10487.0,10416.0,10152.0,10282.0,10028.0,9974.0,9791.0,9990.0,10125.0,10286.0,10782.0,10910.0,11293.0,10932.0,11050.0,10698.0,10475.0,10299.0,10073.0,10416.0,10260.0,10146.0,10373.0,
18,27.0,Maryland,19,7699.0,7601.0,6901.0,6530.0,5871.0,5631.0,5622.0,6002.0,6164.0,5912.0,5147.0,4992.0,5286.0,5812.0,5669.0,5345.0,4877.0,5241.0,5294.0,5637.0,5640.0,5707.0,6033.0,5742.0,5953.0,5531.0,5683.0,5442.0,5026.0,5205.0,5138.0,5520.0,5213.0,4999.0,5043.0,5083.0,5806.0,6049.0,6141.0,5738.0,5383.0,5337.0,5110.0,5182.0,5014.0,4767.0,4916.0,5166.0,5405.0,5117.0,4988.0,4875.0,4783.0,4813.0,4604.0,4891.0,5179.0,5481.0,5992.0,5950.0,6013.0,5772.0,5717.0,5912.0,5859.0,6070.0,6333.0,6619.0,6490.0,6090.0,5937.0,5999.0,6132.0,6069.0,5563.0,5710.0,5814.0,6309.0,6268.0,6424.0,6518.0,6733.0,6811.0,7118.0,7273.0,7454.0,7275.0,7483.0,7575.0,7710.0,7434.0,7238.0,7046.0,7351.0,7376.0,8524.0,8829.0,9028.0,8566.0,8718.0,8894.0,8832.0,8716.0,8615.0,9247.0,9447.0,10045.0,10261.0,10691.0,10635.0,10246.0,10027.0,9569.0,9585.0,9545.0,9923.0,10377.0,10216.0,10691.0,
21,10.0,Colorado,22,9014.0,8052.0,7347.0,7146.0,7045.0,6920.0,6875.0,7088.0,7022.0,6594.0,6568.0,7025.0,7216.0,6509.0,5647.0,5641.0,5832.0,6050.0,6053.0,6216.0,7026.0,7012.0,7379.0,7127.0,7578.0,7319.0,7010.0,6747.0,6023.0,5411.0,4900.0,4980.0,5532.0,5737.0,6640.0,6720.0,6976.0,6379.0,6055.0,5860.0,5630.0,5745.0,5761.0,6020.0,6455.0,6546.0,7306.0,7779.0,8080.0,7594.0,7083.0,6989.0,6907.0,6945.0,6885.0,7299.0,7828.0,8045.0,8896.0,9315.0,9736.0,9209.0,8866.0,8786.0,8837.0,8757.0,8602.0,8404.0,8276.0,7952.0,8407.0,8728.0,9162.0,8848.0,8573.0,8782.0,8951.0,8964.0,9039.0,9072.0,9305.0,9182.0,9433.0,9662.0,9973.0,9825.0,9603.0,9923.0,10045.0,10078.0,9908.0,9884.0,9974.0,9954.0,10550.0,11161.0,11225.0,10493.0,9828.0,9877.0,9728.0,9949.0,9837.0,10122.0,10877.0,10958.0,12120.0,11908.0,12066.0,10715.0,10234.0,10083.0,9960.0,9892.0,9566.0,9928.0,10373.0,10290.0,11187.0,11541.0
23,51.0,South Carolina,24,6674.0,6480.0,6029.0,5875.0,5719.0,5716.0,5695.0,5600.0,5210.0,5079.0,4775.0,4864.0,4786.0,4657.0,4458.0,4395.0,4544.0,4802.0,4891.0,5125.0,5517.0,5877.0,5647.0,5472.0,5259.0,5572.0,5349.0,5345.0,4920.0,4849.0,4503.0,4622.0,4756.0,5138.0,5163.0,5277.0,5223.0,5170.0,4933.0,4747.0,4645.0,4740.0,4708.0,4839.0,4890.0,5120.0,5342.0,5634.0,5629.0,5530.0,5239.0,5089.0,5022.0,5281.0,5298.0,5662.0,5721.0,6022.0,6066.0,6164.0,6139.0,6195.0,6267.0,6259.0,6349.0,6519.0,6731.0,6894.0,6844.0,6934.0,6746.0,6512.0,6310.0,6112.0,6029.0,6034.0,6048.0,6031.0,6091.0,6207.0,6264.0,6352.0,6450.0,6698.0,7083.0,7150.0,7001.0,6789.0,6826.0,6842.0,6628.0,6381.0,6153.0,6032.0,6019.0,6329.0,6652.0,6696.0,6726.0,6699.0,6661.0,6669.0,6657.0,6841.0,7093.0,7190.0,7702.0,7976.0,8489.0,8290.0,8165.0,8213.0,8386.0,,,,,,,
