,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,47.0,Pennsylvania,6,147000.0,145700.0,144100.0,141100.0,141700.0,142400.0,143900.0,141700.0,139800.0,137400.0,136600.0,136600.0,138500.0,138200.0,137000.0,135700.0,136800.0,139200.0,142000.0,141900.0,142900.0,143900.0,144000.0,144000.0,144000.0,144500.0,144200.0,140900.0,139400.0,136600.0,136000.0,135800.0,137600.0,139500.0,141500.0,141700.0,139400.0,135700.0,133000.0,132800.0,134100.0,134300.0,132700.0,130800.0,130900.0,134400.0,138000.0,140400.0,140200.0,139700.0,140100.0,140900.0,142000.0,141300.0,139800.0,138800.0,140200.0,142900.0,143900.0,143900.0,143800.0,144500.0,144400.0,144600.0,146400.0,147300.0,147100.0,146200.0,145200.0,145200.0,144500.0,145400.0,145700.0,143900.0,143100.0,141800.0,142700.0,143800.0,145500.0,146200.0,146200.0,147300.0,148500.0,148200.0,148500.0,148000.0,148300.0,148000.0,149300.0,149300.0,149900.0,149200.0,149700.0,149300.0,150400.0,151400.0,151000.0,150800.0,151100.0,152900.0,153200.0,152900.0,152700.0,153300.0,154200.0,154800.0,155200.0,156300.0,156600.0,158100.0,158600.0,160900.0,161400.0,161700.0,160400.0,159700.0,160400.0,163200.0,164900.0,
8,36.0,North Carolina,9,155700.0,155200.0,150400.0,148100.0,147700.0,147900.0,147100.0,148100.0,145700.0,145300.0,144800.0,151500.0,154700.0,153200.0,148800.0,146800.0,148000.0,148500.0,149100.0,150100.0,150400.0,149700.0,152100.0,154200.0,155400.0,151800.0,148900.0,147900.0,148600.0,149000.0,149600.0,149800.0,150200.0,151900.0,152700.0,153400.0,150900.0,149300.0,147800.0,149200.0,148500.0,150600.0,148400.0,148400.0,146000.0,147700.0,148900.0,151300.0,153200.0,153300.0,151100.0,150400.0,150300.0,151000.0,149900.0,149100.0,150600.0,153600.0,155400.0,156400.0,155200.0,156200.0,155900.0,156400.0,156200.0,156100.0,156300.0,156500.0,156300.0,157200.0,157500.0,158400.0,157800.0,157100.0,157900.0,157300.0,158100.0,156000.0,156100.0,155600.0,157700.0,158900.0,161000.0,164200.0,166300.0,164500.0,161200.0,161300.0,164400.0,166100.0,165600.0,164600.0,161900.0,159500.0,160400.0,162000.0,163800.0,165200.0,166800.0,169400.0,167700.0,169600.0,170700.0,174500.0,175600.0,175800.0,175500.0,176800.0,179600.0,182100.0,181200.0,180900.0,180200.0,180800.0,180500.0,181400.0,183900.0,186300.0,188900.0,
10,56.0,Virginia,11,251600.0,248900.0,240500.0,235300.0,233300.0,233300.0,232900.0,230000.0,225800.0,220700.0,218500.0,220000.0,219500.0,217200.0,213600.0,212800.0,215600.0,219600.0,225900.0,227900.0,226300.0,225600.0,228500.0,231700.0,230600.0,226400.0,221300.0,217700.0,221100.0,228000.0,234200.0,232000.0,229800.0,229400.0,226800.0,224100.0,216500.0,214200.0,210300.0,211200.0,216500.0,220400.0,225200.0,219600.0,217900.0,213700.0,214500.0,215100.0,217600.0,222000.0,226200.0,229200.0,232100.0,233200.0,237600.0,237100.0,241400.0,239600.0,241200.0,236900.0,235900.0,236400.0,239300.0,246700.0,248000.0,252700.0,250900.0,252100.0,248800.0,246200.0,244100.0,243700.0,244000.0,245900.0,244700.0,245700.0,245400.0,247300.0,246800.0,247900.0,247700.0,250900.0,251400.0,255900.0,255200.0,256800.0,255400.0,254800.0,255600.0,255200.0,254400.0,250000.0,245200.0,245200.0,250100.0,254200.0,253900.0,253000.0,252200.0,253200.0,253800.0,253900.0,254600.0,254400.0,255400.0,254300.0,256100.0,261000.0,262200.0,264200.0,261500.0,262600.0,262100.0,260200.0,260800.0,258400.0,260100.0,259200.0,263400.0,
11,59.0,Washington,12,282400.0,275900.0,268900.0,261900.0,258200.0,257300.0,254900.0,254400.0,252900.0,253600.0,254600.0,257100.0,253900.0,247800.0,238100.0,236700.0,235200.0,237300.0,238000.0,240000.0,239100.0,240300.0,244400.0,249300.0,248800.0,244300.0,239500.0,235600.0,238600.0,240800.0,243100.0,239300.0,238000.0,240500.0,240100.0,240600.0,234600.0,230100.0,223700.0,220500.0,219500.0,220500.0,220600.0,220700.0,219600.0,221900.0,220400.0,220000.0,217500.0,221400.0,223900.0,229300.0,230000.0,232100.0,233600.0,237300.0,240700.0,243600.0,244200.0,244000.0,244400.0,246200.0,248000.0,248300.0,250300.0,252500.0,254200.0,253400.0,252900.0,252100.0,253000.0,254400.0,254700.0,253300.0,251800.0,253400.0,257300.0,259400.0,261000.0,262000.0,261700.0,262300.0,263400.0,267700.0,269100.0,272000.0,273600.0,275400.0,274100.0,273600.0,274700.0,278100.0,280800.0,284400.0,286200.0,287100.0,287900.0,288600.0,291600.0,293500.0,295500.0,297700.0,298800.0,301000.0,303700.0,306900.0,311800.0,311700.0,313500.0,314800.0,318000.0,321500.0,321800.0,323800.0,326600.0,329800.0,335300.0,338800.0,342700.0,344700.0
12,26.0,Massachusetts,13,313800.0,309500.0,299800.0,294800.0,291100.0,289400.0,285800.0,284800.0,276700.0,271300.0,262500.0,265600.0,264600.0,267500.0,264800.0,267800.0,271300.0,275900.0,277600.0,277600.0,272600.0,277400.0,281200.0,292000.0,291200.0,291600.0,284900.0,286900.0,288700.0,295800.0,294200.0,292600.0,289700.0,288500.0,280100.0,271100.0,264100.0,267200.0,274400.0,284000.0,289800.0,289700.0,287400.0,282500.0,277600.0,273100.0,271800.0,276700.0,280100.0,284900.0,286600.0,292600.0,295500.0,293800.0,290500.0,287400.0,288900.0,290600.0,287500.0,294800.0,295000.0,306300.0,304900.0,311600.0,312500.0,315300.0,316300.0,316600.0,311500.0,309900.0,310100.0,318400.0,321200.0,321400.0,320900.0,320600.0,321800.0,319800.0,318100.0,317100.0,316300.0,318900.0,321100.0,330500.0,329900.0,328300.0,321800.0,322300.0,323700.0,324800.0,325300.0,325700.0,325200.0,327100.0,326800.0,327100.0,325900.0,328600.0,329400.0,331300.0,331600.0,332600.0,333600.0,335300.0,338200.0,338200.0,338800.0,340600.0,343000.0,345500.0,346500.0,349300.0,350200.0,349300.0,350800.0,353500.0,357700.0,357800.0,358000.0,
14,53.0,Tennessee,15,118600.0,118000.0,116800.0,116100.0,115700.0,115700.0,115000.0,113500.0,110500.0,107000.0,107200.0,109500.0,111000.0,111100.0,109700.0,111700.0,111700.0,113100.0,113700.0,115100.0,115800.0,114600.0,114300.0,112700.0,113600.0,113900.0,115000.0,114100.0,111100.0,109800.0,108700.0,110200.0,110200.0,113000.0,115000.0,115100.0,113700.0,111800.0,110900.0,109300.0,108800.0,109700.0,110600.0,110900.0,110800.0,112100.0,111600.0,111300.0,110000.0,112000.0,112900.0,113100.0,111300.0,111100.0,111900.0,113600.0,114700.0,116200.0,116700.0,117000.0,117000.0,118700.0,120100.0,121500.0,122500.0,122500.0,122600.0,121500.0,121900.0,121900.0,121900.0,123300.0,124900.0,126800.0,127000.0,127900.0,129500.0,130700.0,131100.0,131600.0,132900.0,134000.0,134800.0,135300.0,136600.0,136700.0,137200.0,137400.0,138300.0,139400.0,140800.0,141500.0,141800.0,141500.0,143400.0,144200.0,144600.0,144700.0,145500.0,147000.0,147600.0,149200.0,150900.0,154900.0,156900.0,160100.0,161600.0,163700.0,162700.0,162600.0,160900.0,163200.0,164000.0,167800.0,169200.0,170900.0,172000.0,173300.0,177600.0,
16,27.0,Maryland,17,272900.0,269900.0,265600.0,257100.0,250400.0,250400.0,252000.0,253800.0,253900.0,249300.0,250200.0,249800.0,253900.0,252300.0,244600.0,238400.0,227400.0,231200.0,232700.0,239300.0,235100.0,235500.0,236100.0,239100.0,238000.0,234000.0,228200.0,219500.0,208800.0,203800.0,204800.0,212200.0,215000.0,213900.0,221200.0,230300.0,231400.0,224800.0,213100.0,210400.0,203800.0,206100.0,205100.0,209100.0,210200.0,214400.0,218300.0,217100.0,220200.0,220500.0,226600.0,227600.0,225200.0,223300.0,217400.0,224000.0,226200.0,229600.0,230300.0,224700.0,226500.0,225000.0,232000.0,234700.0,240900.0,242800.0,241400.0,236700.0,237500.0,238500.0,240400.0,239600.0,243100.0,241500.0,244500.0,241800.0,242900.0,241100.0,243500.0,243100.0,242400.0,241900.0,240500.0,238200.0,236800.0,239500.0,239400.0,243700.0,241600.0,241900.0,240300.0,240400.0,241500.0,241900.0,241500.0,245600.0,246200.0,250000.0,248200.0,247100.0,248100.0,249400.0,249900.0,252800.0,253400.0,254700.0,254700.0,257900.0,260600.0,261700.0,262400.0,261900.0,259300.0,258000.0,261600.0,263000.0,264500.0,262500.0,265300.0,
19,10.0,Colorado,20,207000.0,203000.0,200700.0,199000.0,201600.0,203500.0,203300.0,200800.0,195300.0,190000.0,183100.0,181400.0,181100.0,184200.0,185100.0,188600.0,192600.0,199200.0,200700.0,202000.0,199600.0,202100.0,201500.0,203700.0,202200.0,201600.0,199400.0,198000.0,201100.0,205600.0,208600.0,208300.0,205600.0,205700.0,201200.0,199300.0,195500.0,194500.0,194100.0,193700.0,194600.0,195400.0,197400.0,198000.0,199400.0,198500.0,198800.0,195800.0,197000.0,200600.0,208600.0,214000.0,217600.0,219200.0,221100.0,224300.0,225800.0,226900.0,225700.0,225100.0,225300.0,228300.0,230700.0,233900.0,235200.0,236600.0,237700.0,237900.0,237000.0,235900.0,235200.0,236700.0,238300.0,240700.0,242300.0,243700.0,245500.0,246900.0,248300.0,250000.0,254100.0,256400.0,260100.0,261500.0,264700.0,266100.0,268200.0,268500.0,269500.0,270400.0,272300.0,274700.0,277400.0,280600.0,283900.0,287200.0,288500.0,288100.0,288300.0,291400.0,296300.0,300600.0,304000.0,307900.0,310300.0,314100.0,317400.0,321800.0,323200.0,323900.0,323800.0,325200.0,324800.0,327100.0,328500.0,333000.0,335800.0,342000.0,344200.0,345900.0
21,51.0,South Carolina,22,142600.0,141800.0,137300.0,135400.0,135100.0,136400.0,135300.0,132400.0,130000.0,128500.0,129200.0,130400.0,132300.0,131200.0,127600.0,125900.0,127100.0,131900.0,131300.0,130800.0,128800.0,131000.0,132800.0,133200.0,134000.0,133900.0,131900.0,128200.0,125000.0,126100.0,128200.0,129800.0,131200.0,130300.0,130700.0,130100.0,129500.0,126300.0,122800.0,122300.0,126900.0,129600.0,128600.0,125100.0,122900.0,124100.0,126600.0,127100.0,127300.0,124400.0,124600.0,126100.0,128400.0,130400.0,130900.0,129000.0,128900.0,129900.0,134700.0,136800.0,136700.0,135800.0,135500.0,136100.0,136900.0,138600.0,138800.0,138100.0,137600.0,137200.0,138100.0,138100.0,138900.0,139500.0,140600.0,143100.0,144100.0,145100.0,144800.0,146500.0,148000.0,151100.0,151100.0,154100.0,155400.0,156200.0,152100.0,152000.0,155700.0,161400.0,163500.0,165400.0,163400.0,168100.0,170800.0,178000.0,174800.0,173200.0,170900.0,170400.0,169000.0,166400.0,166200.0,165100.0,165200.0,163900.0,168300.0,172600.0,175700.0,173200.0,166900.0,164600.0,163600.0,,,,,,,
22,25.0,Louisiana,23,140000.0,136600.0,138200.0,137500.0,140300.0,139800.0,138700.0,138600.0,136900.0,136300.0,136000.0,140900.0,143700.0,143400.0,141100.0,141300.0,142900.0,142800.0,144200.0,144500.0,147500.0,144800.0,144500.0,142200.0,142400.0,140600.0,140100.0,139700.0,137600.0,136500.0,136900.0,140700.0,142900.0,144400.0,144300.0,141900.0,137000.0,132800.0,132400.0,135700.0,136300.0,137800.0,137100.0,138100.0,136700.0,134000.0,134000.0,133400.0,134200.0,134800.0,136900.0,139300.0,140600.0,140800.0,144600.0,147000.0,149600.0,145800.0,145600.0,145100.0,148800.0,148800.0,149500.0,147500.0,148200.0,148600.0,151100.0,151300.0,151200.0,150900.0,151600.0,152100.0,154000.0,152500.0,152600.0,153400.0,154300.0,155700.0,156300.0,158600.0,160900.0,161500.0,162800.0,165600.0,165700.0,166100.0,163900.0,163800.0,162800.0,159400.0,159900.0,160600.0,162400.0,162800.0,162800.0,163900.0,163100.0,162400.0,161500.0,161700.0,162300.0,162000.0,163700.0,164800.0,164900.0,162600.0,160100.0,159400.0,159800.0,161200.0,163200.0,163400.0,164400.0,164600.0,166400.0,167100.0,166300.0,165700.0,171500.0,
