,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,Pennsylvania,6,120.043112776,120.240585774,121.88365651,121.358419598,120.547945205,119.615384615,119.047619048,117.872807018,117.272727273,115.934065934,114.438700148,112.910718849,112.176165803,111.828644501,112.163173653,112.576899346,113.594158531,112.962882738,112.367724868,111.607142857,109.736456808,108.518284578,107.250755287,105.266644722,105.976430976,106.437683488,107.093215665,107.5,107.605626537,107.533112583,106.48204504,105.170068027,104.086538462,103.865336658,106.838852097,105.655076513,105.637110981,107.876712329,109.554613613,110.810810811,113.252658341,113.716814159,112.301587302,110.555555556,111.002260753,110.061349693,108.928571429,110.77158136,108.643827227,107.853849664,110.227272727,112.397820163,113.132075472,113.262927257,111.759259763,110.50170068,110.611979167,110.833333333,109.263629751,107.51466591,107.221350078,108.473389356,111.106567057,113.248537302,114.991762768,114.506156477,113.226653422,111.885968355,111.607142857,110.904814696,110.540532317,108.797909408,107.631627253,108.058608059,111.399937642,113.795795955,114.736842105,114.738292011,113.784665579,112.327773749,112.530413625,112.282457064,111.385350318,109.762396694,109.693877551,111.043381522,114.24243086,116.831851852,119.554455446,119.773635153,119.465146865,118.616843972,118.694362018,119.317555837,118.984813302,117.460920429,117.26745164,119.310367954
9,North Carolina,10,110.926198547,110.67909154,110.810810811,110.684450028,109.612141653,108.976833977,108.373493976,106.666666667,105.709452571,104.95,104.083333333,102.285714286,100.158227848,99.2307692308,99.8335298598,99.8667554963,100.806451613,101.156278267,101.187466822,100.445292621,99.4919559695,98.0392156863,96.371842909,95.9615384615,98.2105593966,97.9010494753,98.7892939434,98.4615384615,97.55859375,96.9765100671,96.5616635783,96.5818256324,95.7844183565,96.0960960961,101.01010101,100.751879699,100.316239686,101.147098516,102.402912127,103.530726653,104.090909091,105.144694534,104.323953329,104.125902424,104.166666667,103.941729814,102.794957499,101.911702234,101.315789474,101.825842697,102.842809365,103.849948447,104.850601542,104.871712636,104.549820263,104.895104895,105.01641332,105.082688907,104.286892003,103.735990037,103.795304821,105.347384856,106.244015897,107.983193277,109.972489684,110.294117647,110.330992979,110.23663033,109.605263158,109.964622642,109.338061466,109.105196535,110.0,111.724137931,113.164843455,114.619080302,115.22394841,115.392749245,115.703444238,115.616966581,115.572625698,115.979381443,115.42308471,115.473392071,115.063690931,116.302357063,117.569421498,120.286085826,121.591617529,121.638924456,122.021572512,121.527777778,122.59661146,123.257322176,123.33539586,123.115267313,123.372284277,124.091954023
11,Virginia,12,135.94201277,135.786481364,136.361154401,137.425349755,136.613578057,135.542168675,134.949747475,133.482475764,133.811092624,132.660398794,131.118881119,129.122083332,127.340449438,126.556016598,127.777777778,127.793113682,128.967868355,129.62962963,128.904283107,128.260869565,127.459016393,125.89790199,123.087159015,120.828571429,120.530096263,120.862226135,123.23943662,124.51152632,125.218914186,125.17699115,123.947424639,123.511904762,122.844827586,123.294021536,126.778455285,125.146218832,124.958333333,126.536228787,128.968253968,131.039046989,133.524355475,134.375,133.182123656,132.76121346,132.60893196,132.526746351,130.426079137,130.250775327,129.904720658,130.266075388,133.511450382,136.603333102,139.481065919,140.210315473,139.776301992,139.671361502,140.078475336,138.783827298,137.672493684,136.091373613,135.243743285,137.884988798,140.970350404,144.080234834,146.247240618,146.287262873,143.777092442,144.094715565,144.16577416,143.903385035,142.5499506,140.597539543,139.818931069,137.100229428,144.5,147.766666667,148.859934853,149.087887276,148.100450741,146.105072464,146.362621782,145.67395188,144.409176281,142.541015783,141.753617415,144.395862374,148.446132597,151.017755231,152.469938379,152.631578947,151.315789474,149.95,150.530048729,151.012446446,150.878060846,148.226182545,147.832585949,150.377315837
12,Washington,13,168.992248062,168.079387793,167.785074993,167.224594846,166.666666667,165.562913907,164.860958516,163.136213784,160.142126335,154.651162791,151.07823741,147.691126312,142.052501627,139.277603998,139.15298185,136.290322581,136.944181646,137.45532646,137.687813022,137.815609002,136.444722552,133.608652997,130.357142857,127.311320755,126.404494382,128.37045721,130.086189617,131.026105478,132.545527271,133.865664631,133.466466466,132.654028436,132.217898833,130.434782609,140.127782358,138.484848485,137.4341646,139.020979021,141.914191419,145.11499099,149.2039801,152.041813762,153.9408867,153.927813163,154.416306362,153.814935065,149.345487057,149.197860963,146.701388889,148.706896552,151.985111663,154.98951806,157.555308961,160.703517588,161.393742885,161.898395722,161.867120545,160.966129928,155.807365439,149.539286697,152.780810286,157.962085308,161.278988053,164.827586207,168.742724098,170.87276551,170.765027322,171.673819742,171.602326811,171.259992387,169.309177334,167.448091092,166.666666667,169.449152542,172.852512156,176.696105399,180.147058824,183.129676663,184.472934473,185.029436501,186.026445981,186.61971831,184.986595174,181.662048947,180.667570009,183.480176211,190.52523172,194.675644173,199.864498645,203.457446809,204.898516784,204.750977051,206.431986093,205.314009662,203.376068376,201.280878317,197.931519332,203.37995338
13,Massachusetts,14,201.652771097,202.564849898,202.998126171,203.333333333,203.175921033,201.612903226,199.770326137,197.436436113,196.46799117,195.340501792,194.471504113,190.577342048,188.859591299,188.444145038,190.428571429,191.260869565,193.291757459,193.578637106,190.677540415,189.386002976,189.393939394,188.18760857,184.079356003,182.204861111,183.223216513,184.210526316,188.333333333,191.520467836,191.966943164,191.149635036,188.704193427,186.604548717,188.333333333,188.028933092,189.762711864,187.570356473,187.430555556,191.176714324,196.002904866,199.090909091,201.593726662,203.771608172,202.58587418,199.824233532,201.5625,201.439539347,199.625931922,197.883733537,197.069199301,201.953444498,204.402515723,207.543947726,209.557966543,208.333333333,205.440313112,203.548617827,203.284258211,203.611111111,203.389830508,200.831024931,200.96234377,202.635595725,205.882352941,209.252125778,211.995153473,213.16171211,211.179792284,208.699956644,210.409356725,210.798122066,210.00550055,207.857142857,208.188757807,211.454236553,218.262987013,221.925925926,223.214285714,224.736890969,222.929936306,221.070489042,223.654283548,224.988748875,224.205534957,221.966205837,221.653026428,224.796060255,232.808219178,238.09478022,240.980783995,242.986111111,240.339414859,238.932291667,241.666666667,242.269230769,242.186612576,237.653501439,237.394957983,240.808378781
14,Indiana,15,79.9966655552,80.4971137564,81.3,81.4519435182,81.5376569038,81.7298705967,80.8333333333,80.4702682856,79.9299883314,79.3333333333,78.8815789474,77.4137931034,76.8615384615,77.0973963356,78.1148012396,78.7083753784,79.481641111,79.6650177334,79.6376811594,79.0897701355,78.4527886497,77.7266288952,76.3052208835,74.460995688,74.1073593074,74.3374723562,75.2132463623,76.014198783,76.4204545455,76.1890243902,76.1204267391,75.5675675676,74.8946811484,74.7329059829,77.1643663739,76.4485374027,75.9043927649,76.8269230769,78.1767955801,79.6903757669,80.5875576037,81.5047400798,81.3909774436,80.7823129252,80.5436971406,80.3300043422,79.0368950647,78.7621359223,78.3385579937,79.2931581332,80.9006688312,82.4701929283,83.5673577413,84.0745192308,83.9285714286,83.4813186958,83.0148481033,82.5607703504,81.8181818182,80.5962106762,80.8609656777,81.8452380952,83.3333333333,84.3549300957,84.7104519774,85.1260126013,84.7717207655,84.0367676569,83.8655913978,83.4992917847,83.1944444444,82.0,82.0008200082,82.4070657373,84.231069477,85.8369098712,87.1360028091,87.5336927224,87.6559321972,86.9417107959,86.8619132766,87.1129025813,86.6228571707,86.038961039,85.9437382352,87.1100917431,89.7975280257,92.2358155182,93.9393939394,94.6165585654,95.127905106,94.8060344828,95.3591862683,95.3708077468,95.2380952381,94.5500453046,94.9013689085,96.3488843813
16,Tennessee,17,99.0959666203,99.1573938318,98.9010989011,98.9648964896,98.7647155939,98.3388111888,97.9590932027,97.6645435244,97.5243810953,96.2222222222,96.2166809974,94.946292811,93.7460913071,92.4556213018,92.8916033138,93.1818181818,93.7918410377,93.3003844042,93.1346460883,92.5222463357,91.5625,91.1699779249,89.1964285714,86.8994047619,86.1956001913,86.5789473684,87.1808677185,89.3326925259,89.0946861654,89.1084337349,90.3337969402,90.4285714286,90.8366522367,91.4190854389,94.176737431,93.75,93.7475576397,94.3593314763,95.1587301587,96.2130937099,97.1109652003,97.372488408,97.4398165839,97.3053892216,97.2741433022,97.1759259259,96.6473243069,96.94471387,96.6950959488,97.4015729638,98.4911986588,99.3430977747,100.619674671,100.510204082,100.408163265,100.327225131,100.273556231,100.129282482,99.704830328,99.6608797625,99.921630094,100.840618695,100.039777247,101.36711148,103.344589078,103.75399361,103.589123355,103.017241379,103.013561785,102.784640069,102.772466539,102.138079312,102.366341557,102.435951281,103.375527426,105.880713489,107.10305862,107.887815055,109.612573099,109.435437858,109.786020081,110.035222185,110.394842869,109.838889948,109.496753247,110.714285714,113.155406709,114.358974359,115.814470036,116.965678627,118.051286647,118.243243243,119.230769231,119.179389313,119.635292672,119.222037811,119.884563653,120.48543417
18,Maryland,19,170.331501832,169.642857143,170.386904762,171.344734164,169.952413324,168.00804829,166.578947368,164.378471432,162.108108108,160.702199662,160.029438229,155.353728489,152.752293578,151.315789474,152.984870849,153.417322501,155.440414508,155.339805825,154.464267349,153.297124654,152.362804878,150.951557093,147.222222222,146.435815509,144.154467211,145.089285714,146.693497475,144.54845815,142.363830545,149.525827659,148.965231788,147.727272727,146.465517241,146.465517241,150.882079851,148.935428443,148.714825362,150.0,153.38709042,157.907300527,160.167130919,162.151067323,161.857142857,160.714285714,162.114224902,161.493466329,159.224936816,157.381615599,156.25,157.874680952,160.858800876,163.886338371,166.957507757,167.400983519,165.943853428,164.62962963,163.908239103,163.145024992,160.519125683,157.643294758,156.164257427,157.952069717,160.967811026,163.17016317,164.874441525,164.868105516,162.625562868,163.183673469,163.216576039,161.979166667,160.853293413,159.393402174,158.89230486,159.795660106,163.875162481,169.335508995,170.757311077,170.129107981,169.986963507,168.31433038,169.304187192,168.401714636,168.39953271,166.666666667,166.389351082,168.130255784,172.16394294,175.78125,177.9346211,178.390026996,177.943831699,177.266606822,177.96193984,177.609805924,176.743619108,174.357774288,173.225229766,175.78125
21,Colorado,22,155.297580118,154.832703848,154.702970297,154.740672263,155.358275206,155.299917831,155.406360424,154.987080103,152.752571083,148.806396464,144.743656137,140.750670241,138.288677615,136.58467038,137.303664921,138.78968254,142.16036093,143.821204101,145.348837209,144.098648649,142.175184634,138.318353386,134.437559796,130.361648444,130.992572586,132.275132275,134.463740711,135.023053714,138.016495709,139.476744186,140.643144261,140.406792057,138.888888889,139.338031525,152.948732386,152.781866353,152.313415349,153.153153153,155.491849354,157.407407407,159.848484848,161.961093747,163.348647269,163.92363397,165.921538338,161.783996502,160.81871345,162.337662338,162.899508618,163.798808736,165.653175875,168.195718654,170.356915393,173.564753004,173.779264214,174.927113703,172.972972973,173.076923077,172.856803286,172.993067144,175.864197531,175.555555556,179.067202775,182.857142857,185.286447952,188.406995467,190.0,190.538272793,191.061835586,192.039796974,191.286307054,193.056893543,193.181818182,197.934211273,200.573065903,202.414772727,205.324196099,208.300707566,208.484299579,208.822346961,209.169199595,210.238095238,209.359605911,208.53572426,209.711109711,213.166491988,215.898174832,218.040621266,222.446147199,224.467472654,225.817323896,225.586642599,226.046901173,227.272727273,226.581451226,224.625524266,223.480333731,227.932285369
23,South Carolina,24,112.45,110.563882941,109.434914228,108.02570092,106.756421101,106.129032258,105.622298271,105.0,104.825174825,103.389385419,102.760538117,101.557003257,100.34298419,99.5498493523,100.044883303,99.8888888889,99.7547717014,99.7860199715,98.4090909091,95.8986731001,93.9320804868,92.3682616596,88.0,94.3888888889,89.8364896775,90.0767018217,91.2812644651,90.5172413793,90.7024793388,90.5437724949,89.84296875,89.1661433217,88.5576148268,89.1472868217,96.1538461538,96.2606232295,96.0410375014,96.349862259,97.3772321429,98.3409225511,99.1071428571,99.9200319744,99.9354388741,99.9333333333,99.9023809524,99.3125,99.0736682579,99.3733213966,99.2182799338,99.8333333333,100.534061019,102.301790281,103.387586662,103.306761146,102.507699076,102.442306211,103.449137931,104.197871008,103.47970174,104.166666667,104.12019065,105.042016807,106.420991383,108.500391798,108.510638298,109.124236253,108.397480756,109.140520308,108.338525441,109.895287958,109.932213211,109.561631671,110.20491389,112.530870973,113.545454545,114.439324117,115.336793541,115.662139219,115.740740741,116.245259166,116.955445545,116.567619048,114.4211239,114.04412058,114.97292424,116.116941529,117.255051469,118.725099602,119.571022367,119.575235809,119.96,120.015698587,121.656469963,122.023809524,121.631536279,121.07307051,120.350080691,123.470588235
