,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,Pennsylvania,6,169900.0,169900.0,174900.0,174900.0,172000.0,169900.0,169900.0,169900.0,170000.0,169900.0,165000.0,164900.0,162000.0,164900.0,165000.0,168000.0,169900.0,169900.0,169900.0,169900.0,165000.0,164900.0,159900.0,159000.0,159900.0,159500.0,159900.0,159900.0,159900.0,159900.0,157500.0,151900.0,149900.0,149900.0,165000.0,163900.0,164800.0,169000.0,169900.0,174500.0,179900.0,179900.0,175900.0,172000.0,174000.0,169900.0,169900.0,174900.0,169000.0,169900.0,174900.0,179900.0,182900.0,182900.0,179900.0,175900.0,175000.0,178900.0,174900.0,169900.0,169900.0,172000.0,179000.0,180000.0,185000.0,184900.0,179900.0,179000.0,179900.0,175000.0,175000.0,169900.0,169357.0,168900.0,175000.0,179800.0,180000.0,185000.0,179900.0,175000.0,178000.0,179900.0,175000.0,170000.0,169999.0,174900.0,189000,195000.0,195900,194999.0,194900.0,189900.0,189900.0,190000.0,190000.0,189000.0,189000.0,190000.0
9,North Carolina,10,189900.0,189900.0,189900.0,189000.0,187500.0,185000.0,184500.0,179999.0,184900.0,179000.0,174900.0,169900.0,165990.0,165000.0,169900.0,170990.0,175000.0,179000.0,179000.0,175000.0,172000.0,169900.0,165000.0,164900.0,169900.0,169900.0,170000.0,169900.0,169000.0,167032.0,165900.0,165000.0,163000.0,164900.0,179900.0,179900.0,179900.0,184306.0,187500.0,189900.0,194500.0,199000.0,195900.0,195000.0,195142.0,195000.0,189900.0,194900.0,189500.0,189900.0,195000.0,199000.0,199900.0,199900.0,199900.0,199900.0,199900.0,199000.0,199000.0,196500.0,197715.0,199900.0,199900.0,205000.0,214620.0,215000.0,215000.0,215000.0,215000.0,215000.0,215000.0,214000.0,217500.0,219000.0,222500.0,225000.0,228900.0,229000.0,229500.0,229000.0,229000.0,229723.0,229000.0,229000.0,226000.0,229900.0,235000,245000.0,249429,249900.0,249900.0,249700.0,249900.0,250000.0,250990.0,250000.0,254900.0,254784.0
11,Virginia,12,230000.0,231000.0,234950.0,235000.0,234900.0,232000.0,230000.0,229900.0,235000.0,229900.0,224900.0,219000.0,210000.0,212900.0,219999.0,224900.0,229000.0,229900.0,227500.0,225000.0,224900.0,219000.0,209900.0,199900.0,199900.0,200000.0,209900.0,215000.0,219900.0,219900.0,217925.0,214900.0,206990.0,209900.0,227300.0,225000.0,225000.0,229900.0,235000.0,245000.0,249500.0,249900.0,249000.0,245000.0,244925.0,240000.0,237000.0,235000.0,235000.0,238715.0,249000.0,259000.0,264950.0,265640.0,265000.0,264900.0,264779.0,259900.0,258000.0,249950.0,249883.0,255000.0,265000.0,274999.0,279500.0,279900.0,270000.0,274900.0,274990.0,274900.0,269900.0,267900.0,264900.0,259900.0,275000.0,287500.0,289900.0,289900.0,286900.0,279990.0,279900.0,279000.0,274999.0,269900.0,269000.0,275000.0,289000,299000.0,299950,299999.0,299900.0,295450.0,298950.0,299000.0,297500.0,289000.0,289000.0,294900.0
12,Washington,13,259900.0,259000.0,260000.0,257500.0,250000.0,250000.0,254000.0,250000.0,254950.0,239900.0,229950.0,224990.0,215000.0,212000.0,217990.0,214950.0,219000.0,219900.0,219900.0,220499.5,219900.0,214950.0,209500.0,199990.0,199950.0,205000.0,211900.0,214995.0,219000.0,219950.0,219777.0,215000.0,214900.0,209000.0,239000.0,235000.0,234950.0,239000.0,243925.0,249800.0,257000.0,260000.0,265000.0,264536.5,265000.0,265000.0,257500.0,255000.0,249900.0,250000.0,259950.0,269000.0,274950.0,279500.0,279900.0,279950.0,279900.0,275050.0,265000.0,249950.0,259900.0,269900.0,276000.0,284900.0,289900.0,291500.0,289950.0,295000.0,294500.0,290990.0,289900.0,285900.0,284950.0,285000.0,289900.0,299000.0,304500.0,314900.0,315000.0,315000.0,315000.0,315000.0,314900.0,309000.0,305192.0,315000.0,329000,338950.0,349000,350000.0,350000.0,350000.0,350000.0,350000.0,350000.0,349950.0,349000.0,359000.0
13,Massachusetts,14,289900.0,304900.0,299900.0,299900.0,299900.0,299000.0,299000.0,299000.0,299900.0,299900.0,299000.0,289900.0,289900.0,299000.0,299900.0,299900.0,309000.0,309900.0,299900.0,299900.0,299000.0,290000.0,275900.0,269500.0,269900.0,269900.0,279900.0,289900.0,295000.0,295000.0,289900.0,284900.0,285500.0,289000.0,319900.0,315000.0,314900.0,324900.0,329900.0,339900.0,349000.0,349900.0,349000.0,339900.0,339900.0,339900.0,339900.0,335900.0,329900.0,344000.0,349000.0,349900.0,359000.0,354900.0,349900.0,349000.0,349000.0,349900.0,349900.0,342500.0,339900.0,344900.0,349900.0,359000.0,360000.0,365000.0,359900.0,359000.0,359900.0,359900.0,359900.0,350000.0,350000.0,359900.0,379000.0,389900.0,395000.0,398900.0,389900.0,385000.0,389900.0,395000.0,389986.5,385000.0,379900.0,389900.0,409900,424900.0,429000,429000.0,424900.0,419000.0,419999.5,420000.0,419900.0,415000.0,414900.0,419900.0
14,Indiana,15,124900.0,125000.0,127000.0,126900.0,126900.0,125900.0,124900.0,124900.0,125000.0,124900.0,123773.5,119900.0,119900.0,119900.0,124900.0,125000.0,128900.0,129900.0,129900.0,127500.0,125000.0,124900.0,119900.0,114900.0,114000.0,114000.0,114900.0,116900.0,118500.0,118000.0,117500.0,115000.0,114500.0,112900.0,122900.0,120000.0,119900.0,123500.0,126000.0,129900.0,129900.0,131000.0,129999.0,129900.0,129900.0,129900.0,125000.0,124900.0,124900.0,125000.0,129900.0,134900.0,138000.0,139900.0,139900.0,138900.0,135900.0,134900.0,132900.0,129900.0,129900.0,133000.0,136900.0,139000.0,139900.0,139900.0,139900.0,138500.0,139000.0,135000.0,135000.0,130000.0,130000.0,131000.0,135000.0,139900.0,142900.0,144999.0,145000.0,142925.0,141300.0,141933.5,140000.0,139900.0,139900.0,142000.0,149999,159900.0,164900,165000.0,166500.0,164900.0,167900.0,167000.0,164900.0,163900.0,164900.0,167400.0
16,Tennessee,17,159900.0,159000.0,156900.0,155000.0,154900.0,154900.0,154900.0,154900.0,163900.0,159900.0,159000.0,154000.0,149900.0,149000.0,149900.0,154550.0,156900.0,155000.0,154921.0,154000.0,149900.0,149900.0,141385.0,134900.0,133900.0,133700.0,134900.0,139900.0,139900.0,139000.0,139900.0,139900.0,129900.0,132900.0,155000.0,154700.0,154900.0,158000.0,159900.0,164500.0,167500.0,169000.0,169000.0,165900.0,165500.0,165157.5,164900.0,164900.0,162900.0,164900.0,169000.0,169900.0,174900.0,174900.0,174900.0,174900.0,173500.0,173500.0,169900.0,169900.0,169900.0,174900.0,170000.0,176000.0,183900.0,184992.0,185000.0,184792.5,184900.0,179900.0,179900.0,179900.0,179900.0,179900.0,180350.0,189900.0,194900.0,196900.0,199900.0,199500.0,199500.0,199500.0,199500.0,199000.0,195990.0,199900.0,208900,214900.0,219900,223450.0,224946.0,224900.0,225000.0,225000.0,225000.0,224900.0,225000.0,225900.0
18,Maryland,19,245000.0,245900.0,245000.0,249000.0,243900.0,239900.0,234900.0,229900.0,239700.0,237500.0,236500.0,225710.0,222000.0,222000.0,229000.0,230000.0,239000.0,239900.0,239900.0,239900.0,239000.0,235000.0,229402.0,228724.5,225000.0,229259.5,229900.0,225000.0,214500.0,239900.0,239900.0,239000.0,234500.0,234900.0,249000.0,239900.0,240000.0,245000.0,250000.0,259900.0,269000.0,272900.0,269990.0,269000.0,269900.0,269900.0,260000.0,269000.0,259000.0,259900.0,269000.0,275000.0,281118.0,284900.0,280000.0,279000.0,279000.0,274900.0,269000.0,259900.0,257000.0,259900.0,269000.0,274900.0,279632.0,279900.0,274900.0,275000.0,279780.0,274900.0,269900.0,264900.0,262999.0,260000.0,274900.0,285000.0,289900.0,289900.0,289000.0,284900.0,285000.0,289000.0,285000.0,275000.0,274900.0,279900.0,291407,299900.0,309000,307416.5,309000.0,300000.0,303000.0,300000.0,299900.0,297000.0,291214.0,295900.0
21,Colorado,22,248252.5,244000.0,240000.0,240000.0,244900.0,245000.0,245000.0,249800.0,249950.0,234900.0,220000.0,215000.0,215000.0,211900.0,217000.0,220000.0,229900.0,235000.0,239250.0,235000.0,229900.0,220000.0,212900.0,199900.0,200000.0,207000.0,210000.0,214000.0,219000.0,219950.0,220000.0,219950.0,216000.0,219000.0,254900.0,251492.5,254900.0,258000.0,260950.0,269774.0,275000.0,279000.0,281332.5,284900.0,289900.0,285000.0,285000.0,289900.0,289900.0,295000.0,299000.0,300000.0,305950.0,314900.0,314900.0,315000.0,317500.0,319000.0,320000.0,325000.0,334900.0,329900.0,334900.0,340000.0,345000.0,349000.0,350000.0,349900.0,350000.0,350000.0,350000.0,360000.0,369500.0,365945.0,370000.0,374900.0,375000.0,375000.0,375000.0,374999.0,375000.0,375000.0,375000.0,375000.0,378790.0,385000.0,390000,399000.0,399900,400000.0,407032.5,404900.0,408995.0,407500.0,400000.0,405000.0,405900.0,415000.0
23,South Carolina,24,189000.0,185000.0,182000.0,179900.0,178518.0,175900.0,174948.5,174900.0,179900.0,175000.0,171900.0,169900.0,167000.0,164659.0,168000.0,168000.0,168500.0,169000.0,165000.0,159000.0,153900.0,149900.0,135500.0,149750.0,145000.0,148900.0,149900.0,148000.0,149000.0,148900.0,146480.0,145000.0,142900.0,145000.0,168500.0,168900.0,169500.0,169900.0,173000.0,175000.0,175000.0,179000.0,179000.0,179500.0,179500.0,179900.0,179000.0,179900.0,179900.0,180900.0,185000.0,187900.0,189899.0,189900.0,189900.0,189000.0,189900.0,190000.0,192900.0,191220.5,190000.0,194900.0,195000.0,199900.0,200000.0,199900.0,207626.5,203900.0,208000.0,207900.0,209900.0,210000.0,212000.0,214990.0,219000.0,219500.0,219900.0,222500.0,224500.0,219900.0,219900.0,219900.0,219900.0,219000.0,219000.0,220000.0,225000,229595.0,230000,233000.0,234900.0,234582.0,239000.0,239500.0,239900.0,239000.0,237862.0,239000.0
24,Louisiana,25,172900.0,170000.0,170000.0,171181.0,169900.0,169900.0,169900.0,169900.0,172000.0,168500.0,165000.0,163500.0,156700.0,154900.0,159500.0,159900.0,160000.0,159900.0,159000.0,157500.0,155000.0,150000.0,149900.0,149000.0,149000.0,149500.0,149900.0,149900.0,149900.0,150000.0,150000.0,149900.0,149612.5,149900.0,160000.0,159900.0,162000.0,162300.0,165000.0,169000.0,169800.0,169900.0,169500.0,168000.0,168050.0,168000.0,165000.0,165000.0,164450.0,165000.0,165000.0,169000.0,170000.0,171900.0,170304.0,175000.0,175000.0,175000.0,175900.0,175000.0,175500.0,179000.0,179900.0,180000.0,184500.0,184900.0,184900.0,184900.0,185000.0,184900.0,185000.0,185000.0,187900.0,189900.0,194500.0,199000.0,199000.0,199500.0,199000.0,199000.0,198500.0,199000.0,197375.0,197145.0,195000.0,194900.0,198000,200000.0,205612,205000.0,205000.0,203900.0,203900.0,204999.5,204900.0,201900.0,199900.0,200000.0
25,Kentucky,26,149900.0,149750.0,148999.5,149000.0,149000.0,149000.0,148000.0,145900.0,147900.0,144900.0,140000.0,139900.0,136500.0,136350.0,139500.0,139900.0,142500.0,139900.0,139900.0,139200.0,137500.0,134900.0,130000.0,129000.0,127500.0,128900.0,129900.0,129900.0,129900.0,129900.0,129400.0,128000.0,124900.0,124900.0,139500.0,138500.0,137995.0,138900.0,139900.0,139900.0,140000.0,139900.0,139900.0,139900.0,139900.0,139900.0,139000.0,139000.0,137900.0,139900.0,140000.0,145000.0,148500.0,149900.0,149900.0,149775.0,149900.0,149900.0,149000.0,147900.0,147909.0,149900.0,149900.0,150000.0,157000.0,158800.0,158500.0,158000.0,159000.0,156000.0,155000.0,151900.0,150000.0,150000.0,154500.0,159500.0,159900.0,162800.0,164900.0,159925.0,159900.0,159900.0,159900.0,159900.0,159000.0,159900.0,165000,169900.0,174475,173250.0,174000.0,170000.0,170000.0,170000.0,169900.0,169900.0,170000.0,174900.0
