,RegionID,RegionName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
5,47,Pennsylvania,6,4.34782608696,4.1746559633,4.14908078524,4.59136822773,4.35161009574,4.34782608696,4.09044432051,4.0,3.90117035111,3.93461564149,4.08673894912,4.16666666667,4.16438356164,4.17014178482,4.39185752293,4.7619047619,4.39130434783,4.11109084374,4.00160064026,3.88461538462,3.85542168675,3.99122807018,4.00266844563,4.07894736842,4.00320256205,4.04,4.04448938322,4.54545454545,4.34782608696,4.06666666667,3.89105058366,3.84763370527,3.84763370527,3.84763370527,3.94026191133,4.00320256205,3.97379912664,4.0,4.10189752093,4.58903252711,4.34971726838,4.18246829282,3.85067926108,3.71747211896,3.70425248185,3.70644922165,3.79746835443,3.84763370527,3.76323068412,3.81132075472,3.84911470362,4.42152045564,4.13793103448,4.12529411765,3.77777777778,3.57142857143,3.61591000402,3.61549582277,3.70644922165,3.79541469211,3.77213240955,3.70644922165,3.77777777778,4.31827338129,4.00296515938,3.84763370527,3.63636363636,3.57439733998,3.54625748167,3.58422939068,3.63503293486,3.70644922165,3.57781753131,3.57270453733,3.77777777778,4.00160064026,3.84763370527,3.70644922165,3.45363505377,3.43354792561,3.36842105263,3.42372881356,3.54838709677,3.63636363636,3.50877192982,3.44946533287,3.57270453733,3.84911470362,3.61489341313,3.54358336787
9,36,North Carolina,10,4.7664442326,4.54545454545,4.46179590116,5.00250125063,4.85436893204,4.54959053685,4.36174469788,4.16840350146,4.01776746255,4.11240575737,4.16666666667,4.16840350146,4.30143381127,4.17963539351,4.35161009574,4.58091618324,4.38356164384,4.19806243272,3.9903990399,3.92592592593,3.89424794569,3.94078415798,4.01606425703,4.00320256205,3.94736842105,4.00132659377,4.16666666667,4.4792636663,4.43037974684,4.1095890411,3.95480225989,3.70644922165,3.64254429296,3.63636363636,3.6496350365,3.70507595406,3.6231884058,3.63232023721,3.84615384615,4.30107526882,4.0,3.82765531062,3.50877192982,3.35570469799,3.33333333333,3.38983050847,3.41666666667,3.33518621456,3.37335620354,3.42857142857,3.48568738458,3.70644922165,3.57270453733,3.47826086957,3.30383595821,3.22788896062,3.22632682691,3.2187907786,3.22684737012,3.15590277778,3.10995970063,3.22580645161,3.13364869641,3.51724137931,3.29749103943,3.33333333333,3.12833222144,3.00617534095,2.98197659059,3.03067038429,3.00375469337,3.03490136571,3.03214069133,3.1612645058,3.0999030999,3.19067561627,3.07858093839,2.926919636,2.85714285714,2.83771324516,2.83846961168,2.85714285714,2.80930441623,2.83018867925,2.80555555556,2.83018867925,2.71739130435,2.80561122244,2.79888145461,2.79071651343
11,56,Virginia,12,4.7619047619,4.46151547104,4.61293873059,5.01674113392,5.0,4.99952954661,4.6820734983,4.1958041958,4.00160064026,4.0,4.08,4.00839477463,4.16840350146,4.16840350146,4.34858236215,4.76417341591,4.28632670559,4.0871559633,4.00160064026,3.861003861,3.77358490566,3.73076923077,3.80655602961,3.84911470362,3.72365321808,3.80504489098,3.97379912664,4.2,4.16,3.96653576699,3.84689363339,3.67558469171,3.63702491362,3.50381706165,3.51724137931,3.50877192982,3.38289962825,3.54934147738,3.63349131122,4.00160064026,3.84615384615,3.7356367998,3.36558687421,3.22580645161,3.04545454545,2.95816318027,3.05555555556,3.03214069133,3.02578018996,2.98507462687,3.0303030303,3.38345864662,3.33361113426,3.22580645161,3.03951367781,2.92682926829,2.8125,2.86532951289,2.91318702661,2.8880866426,2.92989860566,2.92682926829,2.94117647059,3.22627478266,3.12573261266,3.08437996905,2.85830951409,2.73104137185,2.77777777778,2.71739130435,2.7041644132,2.75768872321,2.80589240216,2.79329608939,2.78551532033,3.06449528241,3.05970149254,2.88404944085,2.72972972973,2.63157894737,2.5974025974,2.5811965812,2.56410913874,2.58603894145,2.55849625844,2.5641025641,2.58030542391,2.7027392267,2.77777777778,2.66076696165
12,59,Washington,13,5.0,4.80952380952,4.96219540448,5.26315789474,5.05,5.03861003861,4.93662441628,4.80952380952,4.76303881877,4.76222222222,4.76281196418,4.66900233567,4.76303881877,4.76417341591,5.0,5.00633815376,4.98515680591,4.89977728285,4.54429023789,4.54959053685,4.34971726838,4.23076923077,4.20168067227,4.25622472867,4.21556886228,4.1675349031,4.28427128427,4.83870967742,4.54545454545,4.3795620438,4.30669856459,4.01606425703,4.00320256205,3.90117035111,3.84985563041,3.85356454721,3.84911470362,3.84911470362,3.85144429161,4.65278591848,4.10987053908,4.0,3.57341956491,3.39011783095,3.44682700666,3.33555703803,3.39558573854,3.35471967124,3.34448160535,3.34080920608,3.51724137931,3.71111111111,3.4965034965,3.34758364312,3.3585246179,3.23790473809,3.22684737012,3.17695293941,3.30916054884,3.1764855364,3.31137943652,3.23624595469,3.1746031746,3.50877192982,3.22632682691,3.33118508971,3.24734446131,3.27471194663,3.19152586869,3.24324324324,3.13432835821,3.1746031746,3.1067961165,3.21331784746,3.23624595469,3.40570455513,3.27375571734,3.07692307692,3.1746031746,3.1252441597,3.13810015288,3.14285714286,3.12597686777,3.16842105263,3.0200391113,2.98507462687,2.8901350439,3.04259634888,2.95519542421,2.89996139728
13,26,Massachusetts,14,4.00320256205,3.73134328358,3.84911470362,4.25531914894,4.18410041841,4.16666666667,3.84689363339,3.63768643143,3.53383458647,3.51493848858,3.69393139842,3.76344086022,3.63768643143,3.63702491362,3.70507595406,4.26457789382,3.85010292305,3.80915736822,3.57270453733,3.46020761246,3.45622119816,3.36190956463,3.50877192982,3.53383458647,3.46020761246,3.43347639485,3.54838709677,3.80652577521,3.51724137931,3.5739814153,3.38289962825,3.29032258065,3.22788896062,3.28744256832,3.34448160535,3.35477635788,3.29032258065,3.23206205559,3.33444481494,3.61663652803,3.41296928328,3.26884589726,3.07858093839,3.04709141274,3.08641975309,3.12597686777,3.13479623824,3.18218180713,3.12695434647,3.02888373504,3.09090909091,3.2258922997,3.22580645161,3.33407423872,3.22580645161,3.12695434647,3.14285714286,3.14285714286,3.21675143203,3.22632682691,3.22684737012,3.17561130518,3.05676855895,3.33407423872,3.22684737012,3.22754168908,3.13977451812,3.15723663645,3.22632682691,3.22788896062,3.22632682691,3.22684737012,3.25504851823,3.15789473684,3.17561130518,3.45966355466,3.33425952683,3.20071126917,3.33333333333,3.12989045383,3.22612903226,3.15151515152,3.12597686777,3.14173575884,3.17510715987,3.17327821501,2.98614087727,3.24675324675,3.12597686777,3.15151515152
14,22,Indiana,15,4.32536440092,4.16666666667,4.11015215278,5.0,5.0,4.76417341591,4.35161009574,4.0404040404,3.72881355932,3.84349214799,3.84763370527,3.77777777778,3.84911470362,3.96910781526,4.08,4.54545454545,4.08,3.79310344828,3.58620689655,3.61881785283,3.66972477064,3.66107899807,3.63636363636,3.69547365454,3.62767636485,3.70644922165,3.71747211896,4.45950864422,4.45859872611,4.0,3.89189189189,3.76692171866,3.69799691834,3.5739814153,3.45065562457,3.63768643143,3.58774630542,3.61881785283,3.89516733267,4.38789027001,4.35161009574,3.77924805713,3.45423143351,3.45065562457,3.34448160535,3.33555703803,3.38289962825,3.45055731529,3.47826086957,3.44946533287,3.63855421687,4.17014178482,3.84619082911,3.57142857143,3.43007915567,3.36275746112,3.41578327444,3.43347639485,3.39040515342,3.45749595131,3.45065562457,3.37078651685,3.37353579669,3.84681964328,3.54352120534,3.34448160535,3.33704115684,3.42155837156,3.31721923809,3.33444481494,3.22841000807,3.26884589726,3.33555703803,3.33555703803,3.50250178699,3.70679272945,3.33555703803,3.33555703803,3.15056072536,3.06441525954,3.12597686777,3.0487804878,3.07988553142,3.03563250103,2.97397803483,3.02022720975,2.93774226108,3.22788896062,3.03214069133,3.13432835821
16,53,Tennessee,17,4.36919846326,4.19982957739,4.33513964152,4.67950540476,4.54855606879,4.44938820912,4.34971726838,4.0899795501,3.89393703986,4.01606425703,3.87362637363,4.01146131805,4.06504065041,4.18410041841,4.18410041841,4.7664442326,4.33249370277,4.17449402449,4.00160064026,3.95852982963,3.84615384615,3.84911470362,3.84763370527,3.97489539749,3.84763370527,3.92309201195,4.03923076923,4.38788942519,4.24749848393,4.00160064026,3.84615384615,3.70373113875,3.58422939068,3.63856882959,3.47905282332,3.57142857143,3.5739814153,3.55805243446,3.7263197787,4.02946236559,3.84911470362,3.53455532876,3.45065562457,3.31007319395,3.27868852459,3.35736230895,3.30097087379,3.33444481494,3.33333333333,3.33611342786,3.35570469799,3.70644922165,3.5992042379,3.57142857143,3.42587757263,3.23974459897,3.12695434647,3.22580645161,3.22788896062,3.26884589726,3.27912920853,3.32326283988,3.37896886378,3.73651771957,3.51724137931,3.38983050847,3.22632682691,3.23399601107,3.16326530612,3.14330625077,3.07215839274,3.12695434647,3.07692307692,3.22627478266,3.18298528397,3.40909478307,3.33444481494,3.06748466258,3.03582718457,3.0303030303,2.94498381877,3.0327578067,2.94247468485,2.94204177699,2.98618887645,2.92718275009,2.86298568507,2.91392498728,2.98059611922,2.85715102043
18,27,Maryland,19,5.26315789474,5.00500500501,5.12739370334,5.59832050385,5.59996025192,5.66037735849,5.26592943655,4.80952380952,4.61680517082,4.57142857143,4.55580865604,4.71533705452,4.77380952381,4.76322788827,4.95242859525,5.04937361143,5.02392344498,4.76417341591,4.43961352657,4.23076923077,4.1119360902,4.16840350146,4.07703703704,4.16710073966,4.23985618901,4.18410041841,4.26666666667,4.67368768303,4.54545454545,4.35206404067,4.19211881662,4.0,3.84763370527,3.80859375,3.80093776899,3.77358490566,3.75227348704,3.78787878788,3.87722132472,4.35066368206,4.34971726838,4.03207446239,4.0,3.70507595406,3.57142857143,3.51000351,3.63636363636,3.57213033217,3.57792601577,3.63800422574,3.84674565318,4.44444444444,4.38564065975,4.15913200723,4.00160064026,3.67647058824,3.61449412179,3.57206644044,3.63636363636,3.57469279984,3.59712230216,3.70507595406,3.70507595406,4.17014178482,3.97350993377,3.84763370527,3.5,3.34448160535,3.24006376291,3.16455696203,3.22788896062,3.22684737012,3.22580645161,3.16226490596,3.27868852459,3.57142857143,3.33444481494,3.26476614783,3.21428571429,3.0,3.03214069133,2.98283537304,2.95028771725,2.94117647059,3.01003344482,2.94549545795,3.1250976593,3.24731182796,3.17191283293,3.03031221307
21,10,Colorado,22,4.16666666667,4.0,4.00160064026,4.44543231829,4.44444938273,4.24677658769,4.16666666667,3.84911470362,3.63636363636,3.70111912331,3.71747211896,3.71057513915,3.84615384615,3.75,3.94230769231,4.36681222707,4.0,3.80666748634,3.53982300885,3.4309623431,3.33555703803,3.28182722364,3.33889816361,3.3338889815,3.22788896062,3.22580645161,3.33333333333,3.71747211896,3.48774827827,3.37245018539,3.20449066163,3.0303030303,3.02620211159,3.0303030303,3.0303030303,3.04735523018,2.93689320388,2.94117647059,2.90697674419,3.14465408805,2.94985250737,2.77854959711,2.85714285714,2.7027027027,2.70781130409,2.7397260274,2.81157069478,2.80898876404,2.77777777778,2.65486725664,2.71676300578,2.86677294176,2.81081081081,2.85773714761,2.65548490425,2.78212493197,2.77777777778,2.86824187334,2.94731205327,2.85877644368,2.82685512367,2.77469049571,2.63227165043,2.76159531739,2.85714285714,2.72373540856,2.77777777778,2.7041644132,2.74386479511,2.77854959711,2.72479564033,2.75076410114,2.67618411001,2.66666666667,2.63296471827,2.75443594913,2.63157894737,2.66666666667,2.57389795202,2.63157894737,2.59829059829,2.5641025641,2.51960568421,2.45528455285,2.40476190476,2.35294117647,2.33333333333,2.39833523545,2.38663484487,2.56267489007
23,51,South Carolina,24,4.97215416447,4.82534400338,5.0,5.16543730242,5.00500500501,4.88095238095,4.74439132034,4.63499420626,4.30107526882,4.4286979628,4.54628114203,4.38596491228,4.48717948718,4.54586784374,4.7619047619,6.22100656455,4.7619047619,4.48358461462,4.35161009574,4.27659574468,4.08163265306,4.15172413793,4.13146491199,4.25622472867,4.11522633745,4.07407407407,4.34930121488,4.90367196465,4.54355981659,4.17536534447,4.13793103448,3.84924354428,3.8951759209,3.75469336671,3.71084312513,3.7037037037,3.63812032415,3.78057820608,3.7119849631,4.16718759406,4.01676575297,3.70200475705,3.59874742084,3.42679127726,3.33889816361,3.34448160535,3.33333333333,3.26884589726,3.33500092648,3.33555703803,3.22788896062,3.46020761246,3.40212765957,3.1572327044,3.12695434647,3.14564359532,3.07858093839,2.98953662182,2.9429075927,2.96672658994,2.94974639757,2.98618887645,3.0312215823,3.03214069133,2.94529121567,2.88571428571,2.87769784173,2.79485746227,2.71307207454,2.77951498806,2.77814431692,2.78118244824,2.75354265074,2.76712328767,2.73224043716,2.78627679605,2.80373831776,2.5843266173,2.5,2.5,2.55319148936,2.51572327044,2.45260667143,2.5363889995,2.63852242744,2.52897787144,2.52898453368,2.7027027027,2.57702929993,2.46913580247
